id,hospital_id,blood_type,resource_type,requested_quantity,urgency_level,status,created_at
06f62e2e-3e49-4d7c-be18-a68c94ba82b3,cd66f53f-80ca-4ece-8ef4-5f84f9fec34f,O-,BLOOD,2.0,MEDIUM,OPEN,2025-03-11T07:35:00
43c2880d-9b09-41c3-99df-686b308c9429,180bd4c1-dc32-4f3f-80a3-d23bc35578df,A+,BLOOD,1.0,MEDIUM,OPEN,2025-02-21T20:18:00
c441cb30-0632-4415-a039-e4a7123b6cad,a44423b2-8107-4af2-8d21-b766e8083d79,A+,PLATELETS,2.0,MEDIUM,OPEN,2025-03-15T08:50:00
81cabe4d-1c7e-4b79-ad7f-a469aa2f6d1a,9b3587bc-1d81-4dbd-a948-149faa8838ab,O+,PLASMA,4.0,MEDIUM,OPEN,2025-04-14T12:41:00
d07b3272-fb62-41ea-a1a7-329689f948e6,d1132eb3-4692-4e58-994d-9ae0e9943375,O+,BLOOD,2.0,LOW,OPEN,2025-03-21T08:28:00
b49ff9ea-aa8a-4301-b123-8fbe80f390ef,535bdbc3-a6f5-4fac-88d0-5b251d3115ca,A+,PLATELETS,3.0,MEDIUM,OPEN,2025-04-26T07:13:00
35fc3cd3-d999-4e9d-b091-57a100947e12,e5cb2557-4f11-4e13-88e1-58abce7485da,A+,BLOOD,4.0,HIGH,OPEN,2025-03-22T18:50:00
a76c50d7-c356-4cfb-b4ab-f1ddc05f44a0,86022bf6-847c-4af2-b687-985e726e87ce,AB+,PLATELETS,6.0,LOW,OPEN,2025-01-29T23:42:00
f4ccd7bf-6afc-4216-9c8d-c792faebf035,c9b8e008-c87e-4741-b781-d4f5f64acc84,B+,BLOOD,1.0,CRITICAL,OPEN,2025-02-18T10:32:00
cff20654-eee6-4fa6-8575-42557c17b6ba,86ea39d9-7438-4f8e-9030-c11764a05334,A+,PLASMA,6.0,HIGH,OPEN,2025-04-19T00:39:00
8be48e12-b424-4e8c-a2cc-b55f56552d0c,1191810f-17db-4d37-b612-4ed7dd3642ab,O+,BLOOD,2.0,CRITICAL,OPEN,2025-01-16T22:52:00
75765dc6-1af9-4f31-be1b-1952fdaa61c8,42adefd6-d678-42a9-a598-0967e3902392,B+,BLOOD,2.0,HIGH,OPEN,2025-04-25T19:19:00
7aadeefe-b117-4788-beec-a4ffcd6672ad,a779c7db-490a-445d-87b4-7b3a869f1716,O+,BLOOD,2.0,MEDIUM,OPEN,2025-02-03T23:09:00
15ff4edd-a1fa-4f4b-adca-cfa9205a66bc,c3606a9a-344d-4b68-955a-13e1e9b8a12b,O+,PLATELETS,1.0,MEDIUM,OPEN,2025-01-08T21:15:00
dc9bca1d-519d-474f-931c-2be8b18b24c1,cf06cc47-b3ba-4f07-8c80-7b39e228722b,B+,BLOOD,3.0,MEDIUM,OPEN,2025-04-15T07:54:00
b1c0daa1-0a02-45b3-b9bd-c685b02ec6f1,847a7ea7-5bc7-4e22-b844-a163e6029e99,O+,BLOOD,1.0,LOW,OPEN,2025-03-19T17:26:00
7c01179d-c410-4337-9f49-e80047137f68,173ac2b0-1ef1-4e85-aa09-1a826ee431ea,O+,BLOOD,6.0,MEDIUM,OPEN,2025-04-09T05:12:00
43f9c853-2c6a-4371-a245-ad9435e54eef,d3bf320a-5f6a-4a4b-9894-fcdede1efc9a,A+,BLOOD,6.0,CRITICAL,OPEN,2025-04-29T20:24:00
c10f1775-08d4-4482-8b13-8f67d04f569d,c8c3a264-ff40-4c03-b620-565d8ec6048a,O-,BLOOD,3.0,MEDIUM,OPEN,2025-03-10T04:15:00
07dc6ed1-d010-422a-86a0-cea71c5a8414,4493bc1c-cb0f-4183-8f39-07cd2bcef365,O+,PLASMA,2.0,LOW,OPEN,2025-04-22T23:44:00
845e8c0d-ddcc-4b09-b2b3-e7deca2b9340,b2a8bf03-1af4-487b-9147-b56a6d0f9f9d,O+,BLOOD,1.0,MEDIUM,OPEN,2025-01-19T04:49:00
659e6eec-3dde-49de-a05b-73eea379dbaa,dbbbc831-5376-47ce-b9bf-3448a719935f,O+,PLATELETS,3.0,MEDIUM,OPEN,2025-02-07T08:11:00
c7a0beb5-54af-47c0-8964-d41befa2c2a8,512aadc9-2ec5-4b4d-9d56-901c13366d11,A+,BLOOD,6.0,LOW,OPEN,2025-03-30T09:29:00
a62a2449-5b6c-4d3a-bfe0-2c018310ce0c,c18b813a-7573-4da0-a222-f3caddb87d5d,O-,BLOOD,1.0,CRITICAL,OPEN,2025-04-06T03:15:00
0d3218e7-e365-4ef6-8839-54b0edf76e97,027c36c9-6c87-4adf-a0f7-ce953336bcc8,A+,BLOOD,1.0,CRITICAL,OPEN,2025-03-19T21:08:00
24347c1d-8cd8-4f50-8731-5587f204b89b,ad423548-e1ea-4b05-83ba-58f1549cef9e,O+,PLATELETS,3.0,MEDIUM,OPEN,2025-04-24T22:33:00
9b175a16-b193-4970-afb7-5acce3887c87,9b3597b6-d4c5-494b-8ea9-6f1beabee6d3,B+,BLOOD,4.0,HIGH,OPEN,2025-04-12T14:20:00
6dcaf184-c874-4477-98f2-d116b98c935d,79874bac-50ba-477d-9b70-48aef93f34b3,B+,PLASMA,3.0,CRITICAL,OPEN,2025-04-15T13:52:00
74f236a3-2fff-4ce5-888a-be7ec6d1d40a,2a77e80a-b395-42f1-9bbb-ad9b55cb2191,B+,PLASMA,6.0,MEDIUM,OPEN,2025-03-28T03:27:00
db37b910-ab75-4bf8-b40c-fd47a25d09c9,7d5930a7-36c1-4b3e-81bb-fc041a02697f,O+,BLOOD,4.0,MEDIUM,OPEN,2025-03-18T02:57:00
2f65dc92-9866-4eef-b01b-34e0c0c2501e,bf2ca33b-35b7-48d1-bb79-c41ca7a0d3dc,A+,BLOOD,2.0,MEDIUM,OPEN,2025-03-23T00:28:00
32843fc4-cb6c-4266-9a26-820fe1af18a4,4a087388-9d66-4ab0-a23b-f70cae582052,B+,BLOOD,2.0,MEDIUM,OPEN,2025-02-12T04:53:00
18e6d83e-beee-46f3-8e2b-7591f79f6127,c32dd0a2-4e0c-4e74-b61a-e746a2e99c11,A+,PLATELETS,6.0,HIGH,OPEN,2025-02-17T07:49:00
e8bf2962-31f1-47f7-9fc9-54e51bccaba9,aa89dcfe-f82a-431f-8a40-877d45f88431,A+,BLOOD,4.0,HIGH,OPEN,2025-03-24T16:40:00
a99bdf17-ca9d-4ec2-b297-e7c43ac2f7f1,0d9e23f9-df77-4455-bfe9-c501426d32e4,O+,BLOOD,2.0,MEDIUM,OPEN,2025-02-16T20:28:00
7ae40a5b-f399-4f31-9b84-ea9dec7cee69,b9963367-335d-412d-888d-4c7181c6e0de,O+,BLOOD,1.0,CRITICAL,OPEN,2025-02-18T18:15:00
3de912d6-18f6-4846-85da-99626970b40b,474bdf33-c695-4b35-96f6-8a190c58ba97,A-,BLOOD,2.0,LOW,OPEN,2025-02-27T07:20:00
db3a66c7-432d-4410-b19b-e9aa80f3d859,f8670773-5eb9-4edc-ac6d-ac9e6e1b72a4,O+,BLOOD,4.0,CRITICAL,OPEN,2025-01-14T18:08:00
9418c574-0398-4435-afaf-dd4676ed65c0,fbd54f72-ddb8-4966-a28c-63b160292baf,O+,PLATELETS,2.0,MEDIUM,OPEN,2025-02-09T11:24:00
f8bbe59b-30b3-4e9f-9eb5-c896a441ffae,38556fcc-ab3d-4428-a3b8-2cb491a29ff0,B-,BLOOD,6.0,HIGH,OPEN,2025-01-27T01:45:00
020562b5-127e-43cb-bf81-2ef8d8281f78,11625f63-230a-4289-a0d7-3d3e5b428d07,O+,BLOOD,2.0,MEDIUM,OPEN,2025-01-11T23:26:00
322729a8-4f58-4ae7-b8e8-833812795ef6,d144b055-de16-4567-b49e-89e1fa0b8d18,O+,PLASMA,3.0,CRITICAL,OPEN,2025-02-26T11:34:00
0ace9270-499a-440b-8d1e-68067a9d29f6,6f69cc6c-bae8-4170-b1bc-47aa5890a821,AB+,BLOOD,3.0,CRITICAL,OPEN,2025-03-12T23:03:00
84126bf8-f8d2-441a-887c-f4560b118dda,bd13acdc-2d30-4e55-b608-c0c8224a934c,O+,BLOOD,2.0,MEDIUM,OPEN,2025-03-13T16:24:00
9256614e-ef70-4c77-8e57-45b829c3140a,3672d248-45ce-463c-8974-b0bbd1f4058a,A+,BLOOD,4.0,MEDIUM,OPEN,2025-04-29T16:01:00
2efcd69b-65c6-491e-9690-951b9062c9b8,796c6cef-b000-44df-a223-43983971f6ec,A+,PLATELETS,4.0,MEDIUM,OPEN,2025-03-06T22:30:00
de09c1a5-d877-49f1-8f59-ab0f28c32537,a83f059a-58a7-4b64-aa04-dfdc1785c167,O+,BLOOD,1.0,MEDIUM,OPEN,2025-03-02T00:19:00
351496cd-c932-4c67-9a64-7f9c634e21e5,87198d12-8bd4-44a6-b3be-8889f9967f20,O+,BLOOD,3.0,HIGH,OPEN,2025-03-13T12:34:00
15d33d7e-3061-4967-b3e3-fb6e629352e8,270c9256-3745-44b6-a532-f6b51e3ce7f2,B+,BLOOD,6.0,CRITICAL,OPEN,2025-04-04T04:51:00
e82f31cf-c3b5-431a-9175-ce8ebb6359d1,ccb4cbe9-e183-4367-8239-5c1c1816bdf3,O+,BLOOD,4.0,CRITICAL,OPEN,2025-02-07T15:31:00
1d6033d7-cfc0-436b-ab2f-7a72d8db4386,0ce2ef3f-dc72-42a1-b4f2-3ba506759c10,O+,BLOOD,2.0,CRITICAL,OPEN,2025-02-16T13:27:00
5e01f0bd-b130-46ec-b5d7-755d19c5eb18,beeb9d93-dc6b-42d9-9799-ecb2e5d8e36b,O+,BLOOD,3.0,LOW,OPEN,2025-01-05T22:24:00
9c62728c-ac74-4702-8e29-67a1d3d8974e,0bf2ee4c-d9e2-49cd-afb0-ece47780e324,B+,BLOOD,2.0,LOW,OPEN,2025-04-25T03:43:00
637fac96-1be3-4112-a345-55a2af85028e,8e20ac12-5032-4eab-905b-ae7d5a84b655,A+,BLOOD,3.0,MEDIUM,OPEN,2025-01-29T04:53:00
e686bf9f-04c9-4e02-bf68-4d34c7892d24,518f77a8-cdae-481b-aa24-2fbe0efbe540,O+,BLOOD,3.0,MEDIUM,OPEN,2025-01-22T18:39:00
45bfbbaa-2847-4d9d-adfb-3550b8216271,66baba1d-f292-482c-abe7-dcb2cda0f4c1,O+,PLASMA,4.0,LOW,OPEN,2025-01-05T14:58:00
6f9ee44a-fcc5-46f4-9cf8-26a040dc6ae2,446fe29c-b48b-47e6-8b77-1522c0f891bf,A+,BLOOD,3.0,MEDIUM,OPEN,2025-04-12T00:36:00
0a0d6141-9b3c-49cd-b34d-1c85a301b0bc,462e555c-747d-4a08-93f9-b63730867cc0,O-,BLOOD,6.0,CRITICAL,OPEN,2025-01-05T15:05:00
4edea2aa-bb22-42d9-82c1-c25ddd3e8be4,af7ba682-5e40-49aa-b26f-76dcf863ed96,O+,PLATELETS,6.0,HIGH,OPEN,2025-03-15T03:08:00
13cb3803-04de-4b32-a14f-463370e7c9c5,7a7fa3c1-56c8-40bb-a974-5ebcf6a21cd9,AB+,BLOOD,3.0,HIGH,OPEN,2025-02-01T00:03:00
58f813f2-2e70-41f8-95c5-813e9a1ce849,b08363e4-092a-4532-977a-a75d65cb5380,O+,BLOOD,2.0,CRITICAL,OPEN,2025-03-06T16:20:00
4154b85d-3756-4b82-b935-f3f3d2cabba3,5bf26248-cb9c-4848-98b1-6551e1abcead,O+,BLOOD,2.0,HIGH,OPEN,2025-03-19T14:20:00
1fc27add-58c2-449d-b4de-260f1a1b444a,7fd7ce2b-b55a-4ee7-a01a-17eaa217a45c,O+,PLASMA,2.0,HIGH,OPEN,2025-03-06T16:17:00
c253b443-8256-41ff-be73-d03325bd4ec4,18fd8f1c-20fc-42dd-901a-3534cafd8eb6,A+,PLASMA,3.0,LOW,OPEN,2025-02-13T01:53:00
3b6446a5-cf92-4ef2-934f-2104632fe960,4af55884-f189-43a0-b23e-a7acf2b49d84,O+,BLOOD,1.0,MEDIUM,OPEN,2025-03-22T06:01:00
09e1bf4b-3457-4038-bb92-b71dcbff7cf5,069e8fd5-e0d3-4c26-8aac-74f32c2fa530,B+,PLASMA,6.0,MEDIUM,OPEN,2025-04-03T01:03:00
699d1660-543f-455a-9308-49b224aeb5c4,f2c7ccca-9941-4b3c-bba3-5e91cb4c895a,O+,PLASMA,2.0,MEDIUM,OPEN,2025-02-08T06:41:00
576d14a4-96f6-41b1-93b7-79398972d420,c2e01102-8c68-4932-98fa-64a9ca924b69,A+,BLOOD,1.0,CRITICAL,OPEN,2025-04-22T05:02:00
8381d3ca-fe3c-4cbb-9cb1-b39c0cbf204d,938f9236-a592-4340-bc3c-5db14bcd2cc9,A+,PLATELETS,1.0,CRITICAL,OPEN,2025-02-12T04:12:00
b3db2bff-ada5-42c3-bb56-2919841b05db,26317a86-1c1a-4473-825c-12eb9dc54463,O+,BLOOD,1.0,CRITICAL,OPEN,2025-04-17T00:09:00
21e108b0-d130-4984-b32e-f4fc8f5e53bc,8660db7d-fce8-4114-8dd9-cca947b8fb38,O+,PLATELETS,2.0,CRITICAL,OPEN,2025-01-22T13:30:00
73dfd414-49b3-45b3-b151-9d7e4407f263,3df49b6f-5f64-4d23-8461-b69c2284b835,A+,PLATELETS,6.0,CRITICAL,OPEN,2025-01-20T12:36:00
ab9f00ef-6d3d-4370-ab42-4ae7244ce3b0,f348ab7e-7cc4-4c0d-bb35-8c5a4a7dc7cc,B+,BLOOD,2.0,LOW,OPEN,2025-03-21T08:44:00
acf46f74-1320-4f09-998e-6a4fb8b1878e,9dd611a6-2a1e-4abd-9242-4473c9c9c5e7,A+,BLOOD,2.0,HIGH,OPEN,2025-03-04T22:10:00
6c067fa7-2991-4aa2-b15c-d13f158c8f35,125ddede-8d6b-4650-982d-03684ce2a4cd,B+,BLOOD,4.0,HIGH,OPEN,2025-04-14T15:47:00
1a78cfbd-1cda-4e52-8e48-140e2d474a12,c7a2fecb-c8ee-4d84-b8bc-d3a59f18199e,O+,PLATELETS,6.0,HIGH,OPEN,2025-01-20T13:49:00
24d4cd7f-338d-4c96-98db-657b3788a605,4a89e1d7-845c-4358-9959-cfdaea2479eb,O+,BLOOD,2.0,HIGH,OPEN,2025-02-23T02:06:00
896901f1-c800-404d-9ed9-a16f3179019e,2821c4ae-cb8d-4527-bfe9-b89aaba08899,A+,BLOOD,4.0,CRITICAL,OPEN,2025-01-05T09:59:00
eda7c589-7647-4a81-a6e4-4d551b69ca02,75603918-32c3-43cd-9da2-5b1ca20efed1,B+,PLASMA,2.0,MEDIUM,OPEN,2025-04-09T06:43:00
ece7c787-5e14-43ad-a6f4-121d4cda86b8,0a2a918f-06de-4627-bc8d-71bb31492fea,A+,PLASMA,3.0,HIGH,OPEN,2025-03-09T16:45:00
27a0f504-0dee-47ce-bab5-9b64c40ba1c6,1b9559d3-da9b-4001-bf42-66475930c74d,B+,BLOOD,2.0,MEDIUM,OPEN,2025-01-13T23:37:00
f790aba5-0ba2-4934-99cb-1d265826a43f,327f1910-ab59-4070-b653-ba033ee53ae2,O+,BLOOD,6.0,LOW,OPEN,2025-04-18T01:15:00
287d0d2e-cb4e-43b7-809a-056aa5b0b06a,b6bc3dca-210a-4ede-9db5-2a65a57324f8,O+,PLASMA,1.0,MEDIUM,OPEN,2025-04-29T23:49:00
27f34b62-3bb5-4267-a571-f2339c9316ae,e51e70a3-7eb8-40b1-bc90-2ca19801f88e,A+,PLATELETS,2.0,HIGH,OPEN,2025-04-27T18:38:00
847b2f86-4442-4897-bf79-29903fc5b5f6,08badeb4-7fce-4d60-a0cb-cfb4b73a3eaf,O+,PLATELETS,1.0,HIGH,OPEN,2025-04-07T14:50:00
bd6bd645-ab06-4e86-837b-03c064480b13,aff1b5dc-18f1-4e64-8e81-b24f897c4ac8,B+,PLATELETS,1.0,CRITICAL,OPEN,2025-03-01T06:34:00
0ca54a53-652e-4b70-9965-9dacdc0c8263,7cf18d12-d7ef-4a9f-8ff5-911d578b22f3,A+,BLOOD,3.0,HIGH,OPEN,2025-04-23T21:23:00
0b3d61dd-df7e-48ce-a9ef-53d9450a8cb4,f95f4820-f905-424e-a230-ee789f452cf1,O+,PLASMA,1.0,MEDIUM,OPEN,2025-03-28T08:41:00
2bf9da53-b525-4579-9a5d-ee99383d9f9d,505c5db4-ce03-4405-9020-f22da35b09ea,O+,PLATELETS,2.0,HIGH,OPEN,2025-01-03T03:54:00
0b9a8b8b-9334-4b3d-b1e2-323bae30d27b,6eebd6b8-e7e2-4645-a2ac-54613e5b56a6,A+,BLOOD,3.0,CRITICAL,OPEN,2025-03-25T15:06:00
25c31e1b-8355-404a-83c9-78ca8b128d13,ea17e912-1e67-4059-b853-b787cb0e62b9,O+,PLATELETS,3.0,LOW,OPEN,2025-03-03T19:40:00
2c09f623-7de7-410d-802c-f2fd1d61d3e7,350b2821-1000-4d36-a255-ef3d074cb41d,B+,PLATELETS,3.0,MEDIUM,OPEN,2025-01-27T02:27:00
0f19634e-db32-47f3-bb12-97c73be5e73a,5b83297c-c8bc-4669-a36b-993b324cd0b4,A+,BLOOD,2.0,HIGH,OPEN,2025-03-31T01:41:00
489b7a57-98cd-4573-ae6b-b142748d86c2,dea268e0-3cd0-4957-b475-735d30b7ad10,A+,BLOOD,2.0,MEDIUM,OPEN,2025-04-16T02:51:00
8390e9aa-0e1a-4197-bf22-32825eb25a9b,03edd8ba-e060-463d-b69a-ff679dcc07ca,O+,BLOOD,4.0,MEDIUM,OPEN,2025-03-24T12:29:00
d84fdded-d747-43ce-9938-ca60a5af2f73,74375c4a-a193-4f55-a0eb-68003fc36c72,A+,PLATELETS,3.0,HIGH,OPEN,2025-04-12T02:17:00
ac25ef29-2c35-4465-86ba-440668055688,21f0808a-bb3b-4aa9-8b59-767e33130b6b,A+,PLASMA,2.0,HIGH,OPEN,2025-02-11T21:53:00
4b6ba040-2c6d-4263-bb42-ade0199835e6,19119306-6105-4a8f-8b4c-f1150794fb48,O-,BLOOD,1.0,MEDIUM,OPEN,2025-02-17T14:56:00
6f0efaa6-3a10-47f8-b197-4e11d778b63d,26c9c746-f794-4494-b1de-5217a5fb9b0e,O+,PLATELETS,3.0,MEDIUM,OPEN,2025-02-11T14:48:00
8e8a67c4-16b1-4ee0-99c1-d2208d2801fb,a4e86593-eb8e-47a1-9dc2-8e1d951ac9a2,O+,BLOOD,3.0,HIGH,OPEN,2025-04-08T06:39:00
537ccf62-bf0d-447b-9190-3b3b7caff389,6d43a450-5393-4ffd-9838-1079217d8901,A+,BLOOD,6.0,MEDIUM,OPEN,2025-03-06T16:21:00
e3a69f75-9f2d-43e7-a9b4-43bf8ac5f6c3,37fe1bfa-ec87-4276-9a0f-50ffa2745d31,A+,PLASMA,1.0,HIGH,OPEN,2025-03-26T08:54:00
0ec91455-1178-48df-b2be-5f2876c07033,ff6de088-cb12-428e-ae21-8e9192072916,O-,PLATELETS,2.0,HIGH,OPEN,2025-02-01T00:31:00
1a5545f6-abf2-4ebe-9842-152b11ca2c94,ec5810c8-f31d-4e49-83ed-51d96cc2dbb1,O+,BLOOD,2.0,HIGH,OPEN,2025-03-02T13:51:00
c9a77834-c436-4278-8d50-43a5354f443c,fa883aa4-5e09-44a9-812c-db080aa60603,A+,BLOOD,2.0,HIGH,OPEN,2025-02-28T02:17:00
d9bb18c7-e82c-4fab-ab77-0f412429a35b,76f49be6-9c09-4184-bdd0-3a8c9285c49c,O+,BLOOD,4.0,MEDIUM,OPEN,2025-04-30T16:56:00
5537b6e7-c806-48fa-911a-ae31afb271b3,168090fd-ac30-4e6c-9b8a-13c3fc4904e7,B+,BLOOD,2.0,LOW,OPEN,2025-04-05T20:00:00
6341951b-1b40-4f22-ac97-eccf0e828384,9ce61a26-ed39-47f6-8389-ac4e3a1807c6,A+,BLOOD,4.0,MEDIUM,OPEN,2025-02-02T14:05:00
0677097a-2692-4b31-9866-33480f3e2f77,a6c7e5cd-817e-444d-a333-8c28113cf362,O+,BLOOD,2.0,MEDIUM,OPEN,2025-03-11T08:31:00
1505c26a-d3e0-4f3e-818c-e18909679a62,233757fe-1e06-4339-a8ab-1a22b0057f16,O-,PLASMA,4.0,HIGH,OPEN,2025-02-11T00:44:00
7f3565a8-88ff-461e-aaf8-e0f84e26a891,13131a96-5e09-459a-afbe-85c179f0e786,O+,PLATELETS,3.0,LOW,OPEN,2025-04-21T05:45:00
c38beebc-4571-4e20-97ff-cac4ec4032ac,50651934-145f-40b2-aba8-461fb9675379,A+,BLOOD,3.0,CRITICAL,OPEN,2025-03-18T11:50:00
173d8dc9-927a-4429-af82-4bb3f3e9c682,cda16f68-039d-43f1-b78d-8830bde8863c,O+,BLOOD,1.0,HIGH,OPEN,2025-01-16T21:18:00
f41c474a-0a68-4fdb-b90b-a6d66068234d,5e1fc1bc-03cc-4d6d-b6d5-2882fd7bbabd,A+,BLOOD,2.0,CRITICAL,OPEN,2025-03-11T00:44:00
7d831e39-7b46-411f-96d0-419a38844105,591b29db-16d7-4f05-a8b4-9e22bfebeda1,A+,BLOOD,2.0,MEDIUM,OPEN,2025-02-22T06:42:00
cd68741f-d730-4557-af96-3e73f484dc42,8e97a155-e738-4196-b891-734dcf5ff097,A+,BLOOD,4.0,LOW,OPEN,2025-03-04T23:30:00
58de0642-5629-4649-b79d-66f2de2fb2fe,eaa69673-4dcc-4f5d-8dd9-2031111a7caf,O+,PLATELETS,4.0,MEDIUM,OPEN,2025-04-01T14:22:00
53ae82b0-d9db-4ea9-8336-50951f4d8b1a,bf5a1b63-05e0-4eb3-b2a8-17eea3b72ded,O+,BLOOD,3.0,HIGH,OPEN,2025-04-04T22:21:00
e218d4f6-20ec-444e-ae9e-d49a47aa1c59,b0af46a7-87a5-4756-b4f8-351c863ed7cf,O+,BLOOD,2.0,MEDIUM,OPEN,2025-04-30T22:29:00
92fdaf1c-d367-42bd-8c79-60f52b743c2f,dced898a-219f-40b9-9e86-c13b98e05dde,O+,BLOOD,2.0,CRITICAL,OPEN,2025-02-22T07:16:00
84d91aab-7dd9-43cb-a8b3-441728230696,a983ddf9-84c0-4657-839a-71f9566ba50a,O+,BLOOD,2.0,MEDIUM,OPEN,2025-01-21T14:46:00
84a78eaf-17d9-4871-a6be-e61fc1c8db5b,aac8ccc2-819b-402f-9781-16f3370972f8,B+,BLOOD,2.0,MEDIUM,OPEN,2025-02-23T20:07:00
956917ff-a7c3-458f-9502-a3b3e2cc8b3d,4027b3dd-37be-442c-9b6e-70b3abae390d,O+,BLOOD,6.0,HIGH,OPEN,2025-04-02T10:48:00
8b15c865-012d-4cc1-896c-ebcc236055cc,cb9d0f60-2b52-45e2-95a7-00002477e0fb,A+,BLOOD,6.0,MEDIUM,OPEN,2025-02-01T14:12:00
21b1b222-6d26-4cf0-b4a9-bdd8dc0081ab,2c43d905-a0e6-44d1-b4d6-5a937e975539,O+,BLOOD,2.0,LOW,OPEN,2025-03-24T15:17:00
a065f3d5-20e7-454d-8a10-d76c8808fcce,88f80150-3de9-471e-a640-e4605cef5544,B+,PLASMA,6.0,CRITICAL,OPEN,2025-04-11T14:48:00
e4b2eb4e-12b9-4923-8f1c-2314e099e2a6,57e6ca05-f278-4ecb-b80c-6ba2842ef16d,AB+,BLOOD,4.0,HIGH,OPEN,2025-04-12T20:18:00
208e523f-357f-4b8b-9f61-b84e56e5349b,56511885-8006-4626-871d-29765324f916,O+,BLOOD,1.0,HIGH,OPEN,2025-02-03T03:18:00
e91603c1-d454-4bfa-b259-e4c81f0e733e,b535d6f3-a276-452c-b38d-bfa9cda4ceba,A+,PLATELETS,2.0,MEDIUM,OPEN,2025-03-03T14:11:00
93b3afe8-2246-45a4-ad88-9b5f152ada9c,e30870da-de0b-4556-b300-e84398c17cd9,O+,PLASMA,2.0,LOW,OPEN,2025-01-03T09:45:00
9fce1c95-650f-47dd-b5bf-e1ed778c3476,ed46eca2-487f-4aed-a620-44787149ebe1,A+,PLASMA,4.0,HIGH,OPEN,2025-01-22T14:17:00
71eacecd-5daa-4bb8-b8ee-1051b2fef2db,79928142-8a31-4cc6-9415-8e1169c879e5,A+,BLOOD,1.0,MEDIUM,OPEN,2025-01-10T07:35:00
a38b83a7-aa7a-4268-86fb-04a69f7e62bc,24291b18-de43-4478-851f-3d50c88063c9,B+,BLOOD,2.0,HIGH,OPEN,2025-04-30T00:08:00
0d9c9548-36a6-4935-9af5-fe0822488fed,561c4cc7-a93c-412c-a8bb-02be5e7f2e2b,O+,BLOOD,6.0,CRITICAL,OPEN,2025-03-25T18:06:00
6d993c2c-856a-4159-a7de-c6122e6ed121,b594c54b-7972-42bf-b309-5a3c3dcef4e7,O+,BLOOD,1.0,LOW,OPEN,2025-04-08T23:18:00
e2a24c33-0034-4486-bf45-2cb404974b50,7dcbac74-0f06-42b9-8d4a-04b9d3c7748b,B+,PLASMA,3.0,HIGH,OPEN,2025-03-23T16:28:00
02d81dbb-48e6-4fd6-86eb-c415f8e01193,e4b12350-ab10-4f5f-a016-fce26dbb86dd,O+,BLOOD,2.0,HIGH,OPEN,2025-02-01T11:03:00
